# UN member-state Wikipedia network -- built 2026-09-09
# All 193 UN member states from Wikipedia's Category:Member_states_of_the_United_Nations
# (redirects resolved; 2 miscategorized non-country pages excluded, see notebook Step 1).
# 193 nodes. node_id matches un_edges.tsv.
node_id	name	wikidata_id	url	description
Ethiopia	Ethiopia	Q115	https://en.wikipedia.org/wiki/Ethiopia	Ethiopia, officially the Federal Democratic Republic of Ethiopia (FDRE), is a landlocked country located in the Horn of Africa region of East Africa.
Federated_States_of_Micronesia	Federated States of Micronesia	Q702	https://en.wikipedia.org/wiki/Federated_States_of_Micronesia	The Federated States of Micronesia (FSM), or simply Micronesia ( ), is an island country in Micronesia, a region of Oceania.
Fiji	Fiji	Q712	https://en.wikipedia.org/wiki/Fiji	Fiji, officially the Republic of Fiji, is an archipelagic country in Melanesia, part of Oceania in the South Pacific Ocean.
Finland	Finland	Q33	https://en.wikipedia.org/wiki/Finland	Finland, officially the Republic of Finland, is a Nordic country in Northern Europe.
France	France	Q142	https://en.wikipedia.org/wiki/France	France, officially the French Republic, is a country primarily located in Western Europe.
Gabon	Gabon	Q1000	https://en.wikipedia.org/wiki/Gabon	Gabon, officially the Gabonese Republic, is a country on the Atlantic coast of Central Africa, lying on the equator.
Georgia_(country)	Georgia (country)	Q230	https://en.wikipedia.org/wiki/Georgia_(country)	Georgia is a country in the Caucasus region on the east coast of the Black Sea.
Germany	Germany	Q183	https://en.wikipedia.org/wiki/Germany	Germany, officially the Federal Republic of Germany, is a country in Western and Central Europe.
Ghana	Ghana	Q117	https://en.wikipedia.org/wiki/Ghana	Ghana, officially the Republic of Ghana, is a country in West Africa.
Greece	Greece	Q41	https://en.wikipedia.org/wiki/Greece	Greece, officially the Hellenic Republic, is a country in Southeastern Europe.
Grenada	Grenada	Q769	https://en.wikipedia.org/wiki/Grenada	Grenada is an archipelagic country of the West Indies in the eastern Caribbean Sea.
Guatemala	Guatemala	Q774	https://en.wikipedia.org/wiki/Guatemala	Guatemala, officially the Republic of Guatemala, is a country in northern Central America.
Guinea	Guinea	Q1006	https://en.wikipedia.org/wiki/Guinea	Guinea, officially the Republic of Guinea, is a coastal country located in West Africa.
Guinea-Bissau	Guinea-Bissau	Q1007	https://en.wikipedia.org/wiki/Guinea-Bissau	Guinea-Bissau, officially the Republic of Guinea-Bissau, is a country in West Africa that covers 36,125 square kilometres (13,948 sq mi) with an estimated population of 2,080,000.
Guyana	Guyana	Q734	https://en.wikipedia.org/wiki/Guyana	Guyana, officially the Co-operative Republic of Guyana, is a country on the northern coast of South America.
Haiti	Haiti	Q790	https://en.wikipedia.org/wiki/Haiti	Haiti, officially the Republic of Haiti, is a country in the Caribbean on the island of Hispaniola in the Caribbean Sea, east of Cuba and Jamaica and south of The Bahamas.
Honduras	Honduras	Q783	https://en.wikipedia.org/wiki/Honduras	Honduras, officially the Republic of Honduras, is a country in Central America.
Hungary	Hungary	Q28	https://en.wikipedia.org/wiki/Hungary	Hungary is a landlocked country in Central Europe.
Iceland	Iceland	Q189	https://en.wikipedia.org/wiki/Iceland	Iceland is a Nordic island country between the Arctic Ocean and the North Atlantic Ocean, located on the Mid-Atlantic Ridge between Europe and North America.
India	India	Q668	https://en.wikipedia.org/wiki/India	India, officially the Republic of India, is a country in South Asia.
Indonesia	Indonesia	Q252	https://en.wikipedia.org/wiki/Indonesia	Indonesia, officially the Republic of Indonesia, is a country in Southeast Asia and Oceania, between the Indian and Pacific oceans.
Iran	Iran	Q794	https://en.wikipedia.org/wiki/Iran	Iran, officially the Islamic Republic of Iran, and historically known as Persia, is a country in West Asia.
Iraq	Iraq	Q796	https://en.wikipedia.org/wiki/Iraq	Iraq, officially the Republic of Iraq, historically known in the west as Mesopotamia,  is a country in West Asia.
Israel	Israel	Q801	https://en.wikipedia.org/wiki/Israel	Israel, officially the State of Israel, is a country in the Southern Levant region of West Asia.
Italy	Italy	Q38	https://en.wikipedia.org/wiki/Italy	Italy, officially the Italian Republic, is a country in Southern and Western Europe.
